home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
Siena Saints,Xavier Musketeers,55,80,-25,0,0,-25.0,-24.595723504437956,16.44833578038248,-18.197676572338903,11.05799236329527,-0.0467053602817936,-0.0937480372561919,-0.0018516426913058,0.0192074680340839,0.1772231985613838,-29.255668935634176,-5.1847832248260035,1.3663965579236712
Mount St. Mary's Mountaineers,Georgetown Hoyas,51,79,-28,0,0,-19.333333333333332,-20.605040416741133,11.092276135432598,-15.991167441018844,0.9159713525857568,-0.0424375338832665,-0.0478949866453698,-0.0450329523567578,0.0059222206834083,0.4397873624728101,-16.907138793604602,-7.435545977001096,0.7174972754226848
Seton Hall Pirates,VCU Rams,69,66,3,0,1,-17.357142857142858,-9.526369582460134,15.637239834930185,-1.9298514641055675,18.09952792693636,-0.0599840489647691,-0.0588015515631927,-0.2120254498571808,0.0065317098471567,0.3259358258411629,-20.029379391041928,-6.528292312905219,1.2014432741261962
Merrimack Warriors,Butler Bulldogs,39,78,-39,0,0,-18.666666666666668,-24.019204132631444,8.881740113406721,-22.517339497796343,5.872596152556596,-0.1113622978392641,-0.1345071256184313,-0.009749224730888,-0.242815940189803,0.1086726087766501,-28.389935650352943,-3.0852083701250765,3.1615684695321464
Saint Francis Red Flash,Georgetown Hoyas,65,82,-17,0,0,-31.75,-18.18426792828764,29.713338381790848,-9.6351336557467,17.74136604140493,-0.0415513022087095,-0.0478812776998117,0.0992730850510377,-0.0462264136670347,0.117310906607527,-27.37649969715163,-3.211561999213546,1.1375292123329914
Northern Illinois Huskies,DePaul Blue Demons,52,98,-46,0,0,-46.0,-35.88108669764311,26.62476970761793,-29.39640435240988,26.631380836155984,-0.2289232104332954,-0.2059878212246478,-0.0395522352257213,-0.0797837512285887,-0.0003430580592096,-56.02778518856586,0.019220783248601776,12.826060458833533
Florida Atlantic Owls,Seton Hall Pirates,61,63,-2,0,1,-11.5,2.7488268382804364,1.5179168108975605,3.343103847732081,-1.3579350685808862,0.0086758964647286,0.0298316230541541,0.1239479264292067,0.1143574946061486,-0.1132270297794083,4.701038916312967,-0.5322846733715256,0.040785726914591244
Memphis Tigers,UConn Huskies,99,97,2,0,1,7.5,-9.04524547635394,8.029028405693083,0.5250892907138649,-3.8561885560690854,-0.0408991474266466,-0.0264731913804366,-0.0631558116089688,0.1278778871590391,0.3318964064364549,4.38127784678295,1.4541303729469102,-0.17919052857267664
Creighton Bluejays,San Diego State Aztecs,53,71,-18,0,1,15.666666666666666,3.652984143785559,8.408586279549027,-3.213805760336257,13.943508528312591,0.0555768741146508,0.0662224806988536,0.1368615708236907,0.0545476002065309,0.0090721812280112,-17.15731428864885,-0.15565426461256843,-0.9535498963657365
Wagner Seahawks,Georgetown Hoyas,41,66,-25,0,0,-23.75,-35.26079728810555,8.495493942156685,-26.18452980045366,4.355452377359697,-0.1702240904660593,-0.1767892803899152,0.0171185852684981,-0.1141374470985177,0.1137795472251358,-30.539982177813357,-3.4748253444553203,5.19864068906794
