team,home_game_id,away_game_id
Longwood Lancers,"[401700451, 401732301]",[]
Louisiana Ragin' Cajuns,[401706948],[]
Louisville Cardinals,"[401707861, 401700432, 401724777, 401724792, 401724755, 401724798, 401724817, 401724841, 401724851]","[401700426, 401700427, 401700428, 401700429, 401729739, 401729747, 401700430, 401724775, 401700431, 401700433, 401724787, 401724758, 401724811, 401724831]"
Loyola Maryland Greyhounds,"[401706870, 401715465]",[]
Maine Black Bears,[401706881],[]
Manhattan Jaspers,"[401700455, 401707866]",[]
Marquette Golden Eagles,"[401707869, 401706957, 401715481, 401719076, 401719081, 401719100, 401719113, 401719120, 401719131]","[401707980, 401715446, 401714900, 401715476, 401715477, 401715478, 401715479, 401715480, 401719074, 401719086, 401719090, 401719109, 401719115, 401719128]"
Marshall Thundering Herd,[401707981],[]
Maryland Eastern Shore Hawks,"[401707851, 401707874, 401723723, 401723726, 401715612]",[]
Maryland Terrapins,"[401721316, 401721326, 401721331, 401721361, 401721376, 401721383, 401721409]","[401706898, 401707866, 401707867, 401707868, 401707869, 401706162, 401707870, 401707871, 401707872, 401721307, 401707873, 401707874, 401721344, 401721352, 401721366, 401721389]"
Massachusetts Minutemen,[401706991],"[401715656, 401718426]"
McNeese Cowboys,"[401720709, 401714993]",[]
Memphis Tigers,"[401700424, 401700459, 401729692, 401729696, 401715611]","[401715307, 401714994, 401715326]"
Mercer Bears,"[401715329, 401715458]",[]
Mercyhurst Lakers,"[401706878, 401706996]",[]
Merrimack Warriors,"[401715701, 401715425, 401712996]",[]
Miami (OH) RedHawks,"[401707876, 401707863]",[]
Miami Hurricanes,"[401715587, 401729788, 401729791, 401715340, 401724786, 401724790, 401724800, 401724821, 401724829]","[401715674, 401715675, 401715676, 401715677, 401715678, 401724768, 401715679, 401715680, 401724762, 401724752, 401724813, 401724835, 401724845]"
Michigan State Spartans,"[401729697, 401706963, 401721308, 401721648, 401721327, 401721348, 401721381, 401721398, 401721404]","[401721646, 401706152, 401721002, 401721647, 401716055, 401729692, 401721313, 401721649, 401721082, 401721341, 401721357, 401721368, 401721388]"
Michigan Wolverines,"[401700463, 401706905, 401721306, 401727356, 401716054, 401721330, 401721338, 401721359, 401721378, 401721397]","[401707875, 401706983, 401707876, 401728787, 401729802, 401721312, 401707877, 401707878, 401721349, 401721367, 401721385, 401721406]"
Middle Tennessee Blue Raiders,[401715342],[]
Milwaukee Panthers,[401715647],[]
Minnesota Golden Gophers,"[401729797, 401715393, 401721318, 401721345, 401721352, 401721370, 401721388, 401721403]","[401715387, 401715388, 401715389, 401715390, 401715391, 401715392, 401715394, 401721308, 401715395, 401715396, 401721323, 401721335, 401721359, 401721380, 401721395]"
Mississippi State Bulldogs,"[401700447, 401714990, 401714994, 401708314, 401708325, 401708340, 401708351]","[401714991, 401714988, 401720567, 401714989, 401720545, 401729706, 401714992, 401714993, 401727410, 401722038, 401708305, 401708319, 401708335, 401724556, 401708364]"
Mississippi Valley State Delta Devils,"[401715310, 401715347, 401714925, 401706954, 401706974, 401706913, 401720541]",[]
Missouri State Bears,"[401729775, 401712993]",[]
Missouri Tigers,"[401715307, 401708301, 401708326, 401708345, 401708364, 401708372]","[401706879, 401706891, 401715308, 401715309, 401715310, 401715311, 401715312, 401715313, 401706968, 401715314, 401715315, 401715316, 401708312, 401708320, 401708336, 401708350]"
Monmouth Hawks,"[401721646, 401715424, 401714887, 401715565]",[]
Montana Grizzlies,"[401720873, 401715336]",[]
Montana State Bobcats,"[401715440, 401715401, 401720911, 401706989]",[]
Morehead State Eagles,"[401700426, 401715628]",[]
Morgan State Bears,"[401715396, 401706961, 401715625]",[]
Mount St. Mary's Mountaineers,"[401715680, 401707867, 401715469]",[]
Murray State Racers,[401715688],[401715990]
NC State Wolfpack,"[401716065, 401731041, 401706969, 401724780, 401724789, 401724802, 401724830, 401724854]","[401719267, 401720475, 401724535, 401721795, 401724989, 401715349, 401724774, 401723687, 401706186, 401724761, 401724751, 401724808, 401724823, 401724839]"
NJIT Highlanders,"[401715438, 401715617, 401715566]",[]
Navy Midshipmen,[401706908],[]
Nebraska Cornhuskers,"[401707987, 401715452, 401721313, 401715990, 401729809, 401721337, 401721351, 401721366, 401721384, 401721400, 401721408]","[401707984, 401707985, 401707986, 401707989, 401707990, 401721321, 401729814, 401707991, 401721329, 401721360, 401721374, 401721391]"
Nevada Wolf Pack,[],"[401715430, 401722235, 401729792]"
New Hampshire Wildcats,"[401715386, 401715608]",[]
New Mexico Lobos,"[401709999, 401715593]","[401729700, 401722309]"
New Mexico State Aggies,[401715351],[]
New Orleans Privateers,"[401715384, 401715353, 401714924, 401720735, 401706971, 401720733]",[]
Niagara Purple Eagles,[401706152],[]
Nicholls Colonels,[401715629],[]
Norfolk State Spartans,"[401715696, 401715343, 401723763]",[]
North Alabama Lions,[401711733],[]
North Carolina A&T Aggies,"[401700462, 401706907, 401729285]",[]
North Carolina Central Eagles,[401706994],[]
North Carolina Tar Heels,"[401700435, 401700437, 401700440, 401724787, 401724788, 401724751, 401724816, 401724833, 401724844]","[401700434, 401700436, 401716056, 401729694, 401729697, 401700438, 401724770, 401700394, 401700439, 401700441, 401724760, 401724803, 401724810, 401724824]"
North Dakota Fighting Hawks,[401715683],[401724553]
North Dakota State Bison,[401712999],[]
North Florida Ospreys,"[401711744, 401707990, 401711742, 401711745, 401711752]",[]
North Texas Mean Green,[401715389],[]
Northeastern Huskies,[401715405],[]
Northern Arizona Lumberjacks,[401715694],[]
Northern Colorado Bears,"[401706919, 401715641]",[]
Northern Illinois Huskies,[401715461],[]
Northern Kentucky Norse,"[401715651, 401707977]",[401715630]
Northwestern State Demons,"[401719352, 401727355, 401714921, 401715354, 401715637]",[]
Northwestern Wildcats,"[401715398, 401712997, 401721304, 401721325, 401721333, 401721367, 401721382]","[401715403, 401715397, 401715399, 401715400, 401715401, 401715402, 401729705, 401721311, 401715404, 401715405, 401721348, 401721361, 401721375, 401721390, 401721396, 401721402]"
Notre Dame Fighting Irish,"[401715468, 401719211, 401714903, 401724782, 401724761, 401724748, 401724807, 401724828, 401724845, 401724848]","[401715681, 401715682, 401715683, 401715684, 401719213, 401730557, 401724769, 401715685, 401715686, 401724788, 401724797, 401724832]"
Oakland Golden Grizzlies,"[401707849, 401727541, 401706964]",[401721648]
Ohio State Buckeyes,"[401715344, 401715358, 401721307, 401714645, 401721335, 401721356, 401721372, 401721392, 401721399]","[401715410, 401715406, 401715407, 401715408, 401715409, 401721314, 401715411, 401714915, 401715412, 401721327, 401721342, 401721362, 401721386, 401721409]"
